Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Andy Abad,28,OAK,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Jeff Abbott,28,FLA,NL,28,46,42,5,11,3,0,0,5,0,0,3,7,0.262,0.326,0.33299999999999996,0.659,14,1,1,0,0,0
Kurt Abbott,32,ATL,NL,6,9,9,0,2,0,0,0,0,1,0,0,3,0.222,0.222,0.222,0.444,2,0,0,0,0,0
Paul Abbott,33,SEA,AL,2,5,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,1,0,0,1,0,0
Brent Abernathy,23,TBD,AL,79,335,304,43,82,17,1,5,33,8,3,27,35,0.27,0.32799999999999996,0.382,0.71,116,3,0,3,1,1
Bobby Abreu,27,PHI,NL,162,704,588,118,170,48,4,31,110,36,14,106,137,0.289,0.39299999999999996,0.5429999999999999,0.9359999999999999,319,13,1,0,9,11
Jose Acevedo,23,CIN,NL,18,36,34,1,4,1,0,0,1,0,0,0,18,0.11800000000000001,0.11800000000000001,0.147,0.265,5,0,0,2,0,0
Juan Acevedo,31,FLA,NL,20,4,3,1,1,1,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.667,1.0,2,0,0,1,0,0
Terry Adams,28,LAD,NL,41,48,39,2,2,1,0,0,1,0,0,3,19,0.051,0.11599999999999999,0.077,0.193,3,0,0,5,1,0
Benny Agbayani,29,NYM,NL,91,339,296,28,82,14,2,6,27,4,5,36,73,0.27699999999999997,0.364,0.39899999999999997,0.763,118,11,5,1,1,0
Kurt Ainsworth,22,SFG,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Israel Alcantara,28,BOS,AL,14,41,38,3,10,1,0,0,3,1,0,3,13,0.263,0.317,0.289,0.607,11,3,0,0,0,0
Cory Aldridge,22,ATL,NL,8,5,5,1,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Antonio Alfonseca,29,FLA,NL,54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Edgardo Alfonzo,27,NYM,NL,124,519,457,64,111,22,0,17,49,5,0,51,62,0.243,0.322,0.40299999999999997,0.725,184,7,5,1,5,0
Luis Alicea,35,KCR,AL,113,418,387,44,106,16,4,4,32,8,6,23,56,0.27399999999999997,0.32,0.36700000000000005,0.687,142,6,4,3,1,0
Chad Allen,26,MIN,AL,57,195,175,20,46,13,2,4,20,1,2,19,37,0.263,0.33299999999999996,0.429,0.762,75,7,0,0,1,1
Armando Almanza,28,FLA,NL,49,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Carlos Almanzar,27,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Erick Almonte,23,NYY,AL,8,4,4,0,2,1,0,0,0,2,0,0,1,0.5,0.5,0.75,1.25,3,0,0,0,0,0
Roberto Alomar,33,CLE,AL,157,677,575,113,193,34,12,20,100,30,6,80,71,0.336,0.415,0.541,0.956,311,9,4,9,9,5
Sandy Alomar,35,CHW,AL,70,239,220,17,54,8,1,4,21,1,2,12,17,0.245,0.28800000000000003,0.345,0.634,76,6,2,3,2,1
Moises Alou,34,HOU,NL,136,581,513,79,170,31,1,27,108,5,1,57,57,0.331,0.396,0.5539999999999999,0.9490000000000001,284,18,3,0,8,14
