Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Brent Abernathy,24,TBD,AL,117,504,463,46,112,18,4,2,40,10,4,25,46,0.242,0.28800000000000003,0.311,0.599,144,8,6,8,2,0
Bobby Abreu,28,PHI,NL,157,685,572,102,176,50,6,20,85,31,12,104,117,0.308,0.413,0.521,0.934,298,11,3,0,6,9
Jose Acevedo,24,CIN,NL,6,10,7,1,1,1,0,0,2,0,0,1,6,0.14300000000000002,0.25,0.28600000000000003,0.536,2,0,0,2,0,0
Juan Acevedo,32,DET,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Terry Adams,29,PHI,NL,45,34,25,0,2,0,0,0,1,0,0,3,13,0.08,0.179,0.08,0.259,2,1,0,6,0,0
Benny Agbayani,30,BOS,AL,13,43,37,5,11,1,0,0,8,0,0,6,5,0.297,0.395,0.324,0.72,12,1,0,0,0,1
Kurt Ainsworth,23,SFG,NL,6,7,6,1,1,1,0,0,0,0,0,0,1,0.16699999999999998,0.16699999999999998,0.33299999999999996,0.5,2,0,0,1,0,0
Israel Alcantara,29,MIL,NL,16,32,32,3,8,1,0,2,5,0,1,0,6,0.25,0.25,0.469,0.7190000000000001,15,0,0,0,0,0
Antonio Alfonseca,30,CHC,NL,64,3,3,0,2,0,0,0,2,0,0,0,0,0.667,0.667,0.667,1.3330000000000002,2,0,0,0,0,0
Edgardo Alfonzo,28,NYM,NL,135,562,490,78,151,26,0,16,56,6,0,62,55,0.308,0.391,0.45899999999999996,0.851,225,5,7,0,3,8
Luis Alicea,36,KCR,AL,94,273,237,28,54,8,2,1,23,2,3,32,34,0.228,0.322,0.29100000000000004,0.613,69,5,1,3,0,1
Chad Allen,27,CLE,AL,5,11,10,0,1,1,0,0,0,0,0,0,2,0.1,0.1,0.2,0.3,2,1,0,1,0,0
Luke Allen,23,LAD,NL,6,9,7,2,1,1,0,0,0,0,0,2,3,0.14300000000000002,0.33299999999999996,0.28600000000000003,0.619,2,0,0,0,0,0
Armando Almanza,29,FLA,NL,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Carlos Almanzar,28,CIN,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Roberto Alomar,34,NYM,NL,149,655,590,73,157,24,4,11,53,16,4,57,83,0.266,0.331,0.376,0.708,222,12,1,6,1,4
Sandy Alomar,36,COL,NL,38,120,116,8,31,4,0,0,12,0,0,4,19,0.267,0.292,0.302,0.593,35,6,0,0,0,0
Moises Alou,35,CHC,NL,132,534,484,50,133,23,1,15,61,8,0,47,61,0.275,0.337,0.419,0.757,203,15,0,0,3,4
Juan Alvarez,28,TEX,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Tony Alvarez,23,PIT,NL,14,30,26,6,8,2,0,1,2,1,0,3,5,0.308,0.379,0.5,0.879,13,0,0,1,0,0
Victor Alvarez,25,LAD,NL,4,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Wilson Alvarez,32,TBD,AL,2,4,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Alfredo Amezaga,24,ANA,AL,12,13,13,3,7,2,0,0,2,1,0,0,1,0.5379999999999999,0.5379999999999999,0.6920000000000001,1.2309999999999999,9,1,0,0,0,0
Brady Anderson,38,CLE,AL,34,101,80,4,13,4,0,1,5,4,0,18,23,0.163,0.327,0.25,0.5770000000000001,20,5,2,0,1,2
Brian Anderson,30,ARI,NL,36,49,43,0,5,1,1,0,2,0,0,0,9,0.11599999999999999,0.136,0.18600000000000003,0.322,8,0,1,5,0,0
Garret Anderson,30,ANA,AL,158,678,638,93,195,56,3,29,123,6,4,30,80,0.306,0.332,0.539,0.871,344,11,0,0,10,11
Jimmy Anderson,26,PIT,NL,27,47,42,1,5,0,0,0,1,0,0,2,12,0.11900000000000001,0.159,0.11900000000000001,0.278,5,0,0,3,0,0
Marlon Anderson,28,PHI,NL,145,592,539,64,139,30,6,8,48,5,1,42,71,0.258,0.315,0.38,0.696,205,16,5,2,4,14
Shane Andrews,30,BOS,AL,7,15,13,2,1,1,0,0,0,0,0,1,3,0.077,0.2,0.154,0.354,2,0,1,0,0,0
Kevin Appier,34,ANA,AL,2,4,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,2,0,0
Alex Arias,34,NYY,AL,6,8,7,0,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125,0,0,0,0,0,0
Tony Armas,24,MON,NL,26,56,50,1,5,0,1,0,2,0,0,1,16,0.1,0.11800000000000001,0.14,0.258,7,0,0,5,0,0
Rolando Arrojo,36,BOS,AL,2,3,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,1,0,0
Bronson Arroyo,25,PIT,NL,9,6,6,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Miguel Asencio,21,KCR,AL,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Andy Ashby,34,LAD,NL,27,56,48,5,6,0,0,1,4,0,0,2,23,0.125,0.16,0.188,0.348,9,0,0,6,0,0
Pedro Astacio,33,NYM,NL,30,69,62,3,10,2,0,0,1,0,0,0,31,0.161,0.175,0.19399999999999998,0.368,12,0,1,6,0,0
Rich Aurilia,30,SFG,NL,133,589,538,76,138,35,2,15,61,1,2,37,90,0.257,0.305,0.413,0.718,222,15,4,3,7,0
Brad Ausmus,33,HOU,NL,130,496,447,57,115,19,3,6,50,2,3,38,71,0.257,0.322,0.353,0.675,158,30,6,2,3,3
Jeff Austin,25,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Bruce Aven,30,CLE,AL,7,21,17,1,2,0,0,0,0,1,0,4,4,0.11800000000000001,0.28600000000000003,0.11800000000000001,0.40299999999999997,2,2,0,0,0,0
Manny Aybar,30,SFG,NL,15,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Mike Bacsik,24,NYM,NL,11,21,18,0,2,1,0,0,2,0,0,0,3,0.111,0.111,0.16699999999999998,0.278,3,0,0,3,0,0
Carlos Baerga,33,BOS,AL,73,194,182,17,52,11,0,2,19,6,0,7,20,0.28600000000000003,0.316,0.379,0.695,69,6,2,1,2,1
Danys Báez,24,CLE,AL,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
